method,true_state,predicted_state,count
Base,Insufficient,Insufficient,2
Base,Invalid,Invalid,2
Base,Refuted,Refuted,2
Base,Supported,Supported,2
CVT-RL,Insufficient,Insufficient,2
CVT-RL,Invalid,Invalid,2
CVT-RL,Refuted,Refuted,2
CVT-RL,Supported,Supported,2
DiscoPO,Insufficient,Insufficient,2
DiscoPO,Invalid,Invalid,2
DiscoPO,Refuted,Refuted,2
DiscoPO,Supported,Supported,2
Ecpo,Insufficient,Insufficient,2
Ecpo,Invalid,Invalid,2
Ecpo,Refuted,Refuted,2
Ecpo,Supported,Supported,2
Evidence-Gated SMOPD,Insufficient,Insufficient,2
Evidence-Gated SMOPD,Invalid,Invalid,2
Evidence-Gated SMOPD,Refuted,Refuted,2
Evidence-Gated SMOPD,Supported,Supported,2
GDPO,Insufficient,Insufficient,2
GDPO,Invalid,Invalid,2
GDPO,Refuted,Refuted,2
GDPO,Supported,Supported,2
GRPO-FourState,Insufficient,Insufficient,2
GRPO-FourState,Invalid,Invalid,2
GRPO-FourState,Refuted,Refuted,2
GRPO-FourState,Supported,Supported,2
GRPO-Terminal,Insufficient,Insufficient,2
GRPO-Terminal,Invalid,Invalid,2
GRPO-Terminal,Refuted,Refuted,2
GRPO-Terminal,Supported,Supported,2
PESCO-Full,Insufficient,Insufficient,2
PESCO-Full,Invalid,Invalid,2
PESCO-Full,Refuted,Refuted,2
PESCO-Full,Supported,Supported,2
PESCO-Offline,Insufficient,Insufficient,2
PESCO-Offline,Invalid,Invalid,2
PESCO-Offline,Refuted,Refuted,2
PESCO-Offline,Supported,Supported,2
SFT,Insufficient,Insufficient,2
SFT,Invalid,Invalid,2
SFT,Refuted,Refuted,2
SFT,Supported,Supported,2
SMOPD,Insufficient,Insufficient,2
SMOPD,Invalid,Invalid,2
SMOPD,Refuted,Refuted,2
SMOPD,Supported,Supported,2
Search-Only,Insufficient,Insufficient,2
Search-Only,Invalid,Invalid,2
Search-Only,Refuted,Refuted,2
Search-Only,Supported,Supported,2
TCPO,Insufficient,Insufficient,2
TCPO,Invalid,Invalid,2
TCPO,Refuted,Refuted,2
TCPO,Supported,Supported,2
