method,split,n,comparison_role,formal_comparison_eligible,state_macro_f1,vrs,flip_accuracy,flip_accuracy_n,flip_accuracy_numerator,flip_accuracy_denominator,flip_eligible_n,flip_accuracy_eligible_n,flip_accuracy_success_n,effective_switch_rate,effective_switch_rate_n,effective_switch_rate_numerator,effective_switch_rate_denominator,required_switch_n,effective_switch_rate_eligible_n,effective_switch_rate_success_n,unnecessary_switch_rate,appropriate_persistence,refutation_acceptance,underpower_handling,underpower_handling_n,underpower_handling_numerator,underpower_handling_denominator,insufficient_handling_n,underpower_handling_eligible_n,underpower_handling_success_n,invalid_repair_rate,invalid_repair_rate_n,invalid_repair_rate_numerator,invalid_repair_rate_denominator,invalid_repair_n,invalid_repair_rate_eligible_n,invalid_repair_rate_success_n,invalid_claim_rate,vnpr,replication_rate,replication_rate_n,replication_rate_numerator,replication_rate_denominator,confirmation_eligible_n,replication_rate_eligible_n,replication_rate_success_n,fdr,fdr_n,cost,utility,vrs_n,unnecessary_switch_rate_n,appropriate_persistence_n,refutation_acceptance_n,invalid_claim_rate_n,vnpr_n,cost_n,utility_n,vrs_ci_low,vrs_ci_high,vrs_cluster_count,vrs_ci_status
Base,pilot_id,4,diagnostic_reference,False,,0.5310999999999999,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,2,2,2,2,2,2,,0,2.189,0.5310999999999999,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Base,pilot_ood,4,diagnostic_reference,False,,0.5310999999999999,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,2,2,2,2,2,2,,0,2.189,0.5310999999999999,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
CVT-RL,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
CVT-RL,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
DiscoPO,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
DiscoPO,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Ecpo,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Ecpo,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Evidence-Gated SMOPD,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Evidence-Gated SMOPD,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GDPO,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GDPO,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GRPO-FourState,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GRPO-FourState,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GRPO-Terminal,pilot_id,4,external_name_adapter_excluded,False,,0.5310999999999999,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,2,2,2,2,2,2,,0,2.189,0.5310999999999999,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
GRPO-Terminal,pilot_ood,4,external_name_adapter_excluded,False,,0.5310999999999999,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,2,2,2,2,2,2,,0,2.189,0.5310999999999999,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
PESCO-Full,pilot_id,4,diagnostic_pesco_reference,False,,1.7267821889888797,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.25,0.0,0.0,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1,0,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,1.7267821889888797,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
PESCO-Full,pilot_ood,4,diagnostic_pesco_reference,False,,1.7267821889888797,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.25,0.0,0.0,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1,0,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,1.7267821889888797,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
PESCO-Offline,pilot_id,4,diagnostic_pesco_reference,False,,1.3336308383543658,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.25,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,3,3,3,3,3,3,,0,2.189,1.3336308383543658,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
PESCO-Offline,pilot_ood,4,diagnostic_pesco_reference,False,,1.3336308383543658,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.25,0.25,0.0,0.0,1,0,1,1,1,0,0.0,1,0,1,1,1,0,0.0,,1.0,3,3,3,3,3,3,,0,2.189,1.3336308383543658,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Rule-Based,pilot_id,4,diagnostic_control,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
Rule-Based,pilot_ood,4,diagnostic_control,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
SFT,pilot_id,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
SFT,pilot_ood,4,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,0.25,0.25,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,0.0,,1.0,4,4,4,4,4,4,,0,2.2565,2.13495905738923,4,4,4,4,4,0,4,4,,,1,NA_single_cluster
