method,split,n,comparison_role,formal_comparison_eligible,state_macro_f1,vrs,flip_accuracy,flip_accuracy_n,flip_accuracy_numerator,flip_accuracy_denominator,flip_eligible_n,flip_accuracy_eligible_n,flip_accuracy_success_n,effective_switch_rate,effective_switch_rate_n,effective_switch_rate_numerator,effective_switch_rate_denominator,required_switch_n,effective_switch_rate_eligible_n,effective_switch_rate_success_n,unnecessary_switch_rate,appropriate_persistence,refutation_acceptance,underpower_handling,underpower_handling_n,underpower_handling_numerator,underpower_handling_denominator,insufficient_handling_n,underpower_handling_eligible_n,underpower_handling_success_n,invalid_repair_rate,invalid_repair_rate_n,invalid_repair_rate_numerator,invalid_repair_rate_denominator,invalid_repair_n,invalid_repair_rate_eligible_n,invalid_repair_rate_success_n,invalid_claim_rate,vnpr,replication_rate,replication_rate_n,replication_rate_numerator,replication_rate_denominator,confirmation_eligible_n,replication_rate_eligible_n,replication_rate_success_n,fdr,fdr_n,cost,utility,vrs_n,unnecessary_switch_rate_n,appropriate_persistence_n,refutation_acceptance_n,invalid_claim_rate_n,vnpr_n,cost_n,utility_n
Base,all,8,diagnostic_reference,False,,0.5310999999999999,0.0,2,0,2,2,2,0,0.0,2,0,2,2,2,0,0.0,0.25,0.0,0.0,2,0,2,2,2,0,0.0,2,0,2,2,2,0,0.0,,1.0,4,4,4,4,4,4,,0,2.189,0.5310999999999999,8,8,8,8,8,0,8,8
CVT-RL,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
DiscoPO,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
Ecpo,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
Evidence-Gated SMOPD,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
GDPO,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
GRPO-FourState,all,8,external_name_adapter_excluded,False,1.0,2.13495905738923,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,0.25,0.25,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,2.13495905738923,8,8,8,8,8,0,8,8
GRPO-Terminal,all,8,external_name_adapter_excluded,False,,0.5310999999999999,0.0,2,0,2,2,2,0,0.0,2,0,2,2,2,0,0.0,0.25,0.0,0.0,2,0,2,2,2,0,0.0,2,0,2,2,2,0,0.0,,1.0,4,4,4,4,4,4,,0,2.189,0.5310999999999999,8,8,8,8,8,0,8,8
PESCO-Full,all,8,diagnostic_pesco_reference,False,,1.7267821889888797,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.25,0.0,0.0,1.0,2,2,2,2,2,2,0.0,2,0,2,2,2,0,0.0,,1.0,8,8,8,8,8,8,,0,2.2565,1.7267821889888797,8,8,8,8,8,0,8,8
PESCO-Offline,all,8,diagnostic_pesco_reference,False,,1.3336308383543658,1.0,2,2,2,2,2,2,1.0,2,2,2,2,2,2,0.25,0.25,0.0,0.0,2,0,2,2,2,0,0.0,2,0,2,2,2,0,0.0,,1.0,6,6,6,6,6,6,,0,2.189,1.3336308383543658,8,8,8,8,8,0,8,8
