method,split,vrs_ci_low,vrs_ci_high,vrs_cluster_count,vrs_ci_status
Base,pilot_id,,,1,NA_single_cluster
Base,pilot_ood,,,1,NA_single_cluster
CVT-RL,pilot_id,,,1,NA_single_cluster
CVT-RL,pilot_ood,,,1,NA_single_cluster
DiscoPO,pilot_id,,,1,NA_single_cluster
DiscoPO,pilot_ood,,,1,NA_single_cluster
Ecpo,pilot_id,,,1,NA_single_cluster
Ecpo,pilot_ood,,,1,NA_single_cluster
Evidence-Gated SMOPD,pilot_id,,,1,NA_single_cluster
Evidence-Gated SMOPD,pilot_ood,,,1,NA_single_cluster
GDPO,pilot_id,,,1,NA_single_cluster
GDPO,pilot_ood,,,1,NA_single_cluster
GRPO-FourState,pilot_id,,,1,NA_single_cluster
GRPO-FourState,pilot_ood,,,1,NA_single_cluster
GRPO-Terminal,pilot_id,,,1,NA_single_cluster
GRPO-Terminal,pilot_ood,,,1,NA_single_cluster
PESCO-Full,pilot_id,,,1,NA_single_cluster
PESCO-Full,pilot_ood,,,1,NA_single_cluster
PESCO-Offline,pilot_id,,,1,NA_single_cluster
PESCO-Offline,pilot_ood,,,1,NA_single_cluster
Rule-Based,pilot_id,,,1,NA_single_cluster
Rule-Based,pilot_ood,,,1,NA_single_cluster
SFT,pilot_id,,,1,NA_single_cluster
SFT,pilot_ood,,,1,NA_single_cluster
SMOPD,pilot_id,,,1,NA_single_cluster
SMOPD,pilot_ood,,,1,NA_single_cluster
Search-Only,pilot_id,,,1,NA_single_cluster
Search-Only,pilot_ood,,,1,NA_single_cluster
TCPO,pilot_id,,,1,NA_single_cluster
TCPO,pilot_ood,,,1,NA_single_cluster
